Date,Recommended,Baseline
2021-09-22 00:00:00,239.90911552953708,251.86805410640687
2021-09-23 00:00:00,241.24538662415853,253.27775305490178
2021-09-24 00:00:00,240.52696748441917,252.51985691395734
2021-09-27 00:00:00,238.81712562132464,250.7160595511327
2021-09-28 00:00:00,238.29986384071233,250.17037432965276
2021-09-29 00:00:00,240.03844677991123,252.00449208549193
2021-09-30 00:00:00,236.41760856827176,248.18468947196288
2021-10-01 00:00:00,234.93766657724694,246.62342493740965
2021-10-04 00:00:00,233.1416187278986,244.7286845850486
2021-10-05 00:00:00,233.65888194534918,245.27437132232086
2021-10-06 00:00:00,234.13304145125372,245.7745858069287
2021-10-07 00:00:00,236.18770869620207,247.9421566436916
2021-10-08 00:00:00,235.59860069110096,247.3206772607403
2021-10-11 00:00:00,234.62156071892338,246.28994911960183
2021-10-12 00:00:00,230.94325759713442,242.4095239095509
2021-10-13 00:00:00,233.11287621495586,244.69836267624166
2021-10-14 00:00:00,234.42040479663464,246.07773971592968
2021-10-15 00:00:00,236.13024522289086,247.88153556296197
2021-10-18 00:00:00,234.4347645583997,246.09288854399483
2021-10-19 00:00:00,239.8229081064449,251.77710960107808
2021-10-20 00:00:00,239.69359840864496,251.64069435887723
2021-10-21 00:00:00,239.14759267825164,251.06468571279805
2021-10-22 00:00:00,239.6073909855528,251.54974985354846
2021-10-25 00:00:00,240.1246542030034,252.09543659082073
2021-10-26 00:00:00,242.5241712560563,254.62680666999057
2021-10-27 00:00:00,239.63613349849547,251.58007176235535
2021-10-28 00:00:00,238.3573488665977,250.23101814726655
2021-10-29 00:00:00,238.40045257814378,250.27649039993094
2021-11-01 00:00:00,238.60160850043252,250.48869980360308
2021-11-02 00:00:00,242.2942713839866,254.38427384171922
2021-11-03 00:00:00,241.53274996953942,253.5809069639027
2021-11-04 00:00:00,240.87181585568547,252.88365464057208
2021-11-05 00:00:00,239.19069638979772,251.11015796546243
2021-11-08 00:00:00,238.3860698269662,250.26131731918923
2021-11-09 00:00:00,237.86880804635388,249.71563209770926
2021-11-10 00:00:00,240.3976563497809,252.38344015596417
2021-11-11 00:00:00,238.659073410582,250.54932240012496
2021-11-12 00:00:00,241.46090374505067,253.5051128024314
2021-11-15 00:00:00,239.32002764017187,251.2465959445475
2021-11-16 00:00:00,238.09870648158528,249.95816341018826
2021-11-17 00:00:00,238.9751792689056,250.88279821793282
2021-11-18 00:00:00,237.71075439877293,249.54889343090917
2021-11-19 00:00:00,238.41481233990888,250.29163922799611
2021-11-22 00:00:00,233.83129535469521,245.4562588171861
2021-11-23 00:00:00,235.25377243557057,246.95690075521748
2021-11-24 00:00:00,234.60719952031997,246.27479877574433
2021-11-26 00:00:00,233.11287621495586,244.69836267624166
2021-11-29 00:00:00,233.90314157918402,245.53205297865742
2021-11-30 00:00:00,228.41440929370737,239.74171585129596
2021-12-01 00:00:00,231.50362452613112,243.00068289948757
2021-12-02 00:00:00,230.08114600841753,241.5000394456639
2021-12-03 00:00:00,233.3715185999683,244.97121741331995
2021-12-06 00:00:00,238.48665856439766,250.3674333894674
2021-12-07 00:00:00,239.09012920494047,251.0040646320685
2021-12-08 00:00:00,240.4982235346382,252.48953348935817
2021-12-09 00:00:00,242.73968837694844,254.8541664175202
2021-12-10 00:00:00,242.15060048758323,254.23270825566087
2021-12-13 00:00:00,246.40363030013398,258.71944128371365
2021-12-14 00:00:00,249.04740698702173,261.50849301922
2021-12-15 00:00:00,250.26872814560826,262.79692555357923
2021-12-16 00:00:00,252.95560998088035,265.6314510575423
2021-12-17 00:00:00,246.08752444181036,258.38596546590577
2021-12-20 00:00:00,245.39784781501373,257.65839123376827
2021-12-21 00:00:00,244.62196520196315,256.83987401209424
2021-12-22 00:00:00,245.65646864745193,257.9312232339623
2021-12-23 00:00:00,246.1162669547531,258.41628737471274
2021-12-27 00:00:00,248.15657443793626,260.5687093834103
2021-12-28 00:00:00,249.13363596268806,261.59946026143297
2021-12-29 00:00:00,250.85783758754766,263.41840645232276
2021-12-30 00:00:00,251.9498274957601,264.5704010075969
2021-12-31 00:00:00,250.168160960751,262.69083222018526
2022-01-03 00:00:00,250.84345483637009,263.40323337158105
2022-01-04 00:00:00,250.1825221593544,262.7059825640427
2022-01-05 00:00:00,251.82051636112183,264.4339842496037
2022-01-06 00:00:00,250.97278752358255,263.5396728664585
2022-01-07 00:00:00,254.3062408372669,267.05629883410234
2022-01-10 00:00:00,253.07055848007693,265.75271595588566
2022-01-11 00:00:00,250.4267817931892,262.96366422037926
2022-01-12 00:00:00,248.32898784728235,260.7505968782756
2022-01-13 00:00:00,246.84904729309582,259.1893338595146
2022-01-14 00:00:00,245.52715751281372,257.79480647596915
2022-01-18 00:00:00,244.46391155438224,256.6731353452942
2022-01-19 00:00:00,243.71674990170018,255.88491729554286
2022-01-20 00:00:00,241.80575211631694,253.86891052904613
2022-01-21 00:00:00,241.25974638592362,253.29290188296693
2022-01-24 00:00:00,238.52976227594374,250.4129056421318
2022-01-25 00:00:00,245.2254344056677,257.47650373890303
2022-01-26 00:00:00,246.3030631152767,258.6133479503197
2022-01-27 00:00:00,249.47846278138016,261.9632352511635
2022-01-28 00:00:00,251.2026644062398,263.7821814420533
2022-01-31 00:00:00,251.92108354597914,264.54007758299775
2022-02-01 00:00:00,249.8951588139735,262.4028286550418
2022-02-02 00:00:00,252.61078172534997,265.26767455201946
2022-02-03 00:00:00,252.59640041101065,265.25250298707005
2022-02-04 00:00:00,250.97278752358255,263.5396728664585
2022-02-07 00:00:00,250.1537796464117,262.67566065523584
2022-02-08 00:00:00,250.8003525616623,263.357762634709
2022-02-09 00:00:00,250.7716301644555,263.327461946994
2022-02-10 00:00:00,247.7973648680666,260.18976131293806
2022-02-11 00:00:00,245.34038434170253,257.5977701530387
2022-02-14 00:00:00,242.30865413516418,254.39944692246092
2022-02-15 00:00:00,244.76563609836654,256.9914395981526
2022-02-16 00:00:00,244.62196520196315,256.83987401209424
2022-02-17 00:00:00,243.15638297270348,255.29375830560622
2022-02-18 00:00:00,239.09012920494047,251.0040646320685
2022-02-22 00:00:00,235.9003453508211,247.6390027346906
2022-02-23 00:00:00,236.015295286856,247.7602691488263
2022-02-24 00:00:00,231.58983051238496,243.09162588902402
2022-02-25 00:00:00,242.88338082592597,255.00575474046275
2022-02-28 00:00:00,240.8287121441394,252.8381823879077
2022-03-01 00:00:00,240.00970426696853,251.97417017668505
2022-03-02 00:00:00,242.94084429923717,255.06637582119237
2022-03-03 00:00:00,246.44673401168006,258.764913536378
2022-03-04 00:00:00,247.88357229115877,260.2807058182669
2022-03-07 00:00:00,251.8061565993567,264.4188354215385
2022-03-08 00:00:00,246.79158238294636,259.12871126299274
2022-03-09 00:00:00,247.71115888181274,260.09881832340164
2022-03-10 00:00:00,248.14221467617114,260.5535605553451
2022-03-11 00:00:00,247.69679768320933,260.08366797954415
2022-03-14 00:00:00,251.0589935098364,263.6306158559949
2022-03-15 00:00:00,257.45291954300177,270.3758869630235
2022-03-16 00:00:00,255.12524871443773,267.920311045325
2022-03-17 00:00:00,258.40123855481085,271.37631593223927
2022-03-18 00:00:00,255.5850254691647,268.4053524491912
2022-03-21 00:00:00,257.00750398687825,269.9059959030148
2022-03-22 00:00:00,255.81492534123439,268.6478852774625
2022-03-23 00:00:00,254.86660632942534,267.6474563082467
2022-03-24 00:00:00,256.1597737125006,269.0116830040772
2022-03-25 00:00:00,258.5736519641569,271.5582034271045
2022-03-28 00:00:00,259.88118054583566,272.93758046679255
2022-03-29 00:00:00,259.7518694111974,272.8011637087994
2022-03-30 00:00:00,262.4100072966885,275.6053657881632
2022-03-31 00:00:00,259.01906895711875,272.0280960029055
2022-04-01 00:00:00,260.398442326448,273.4832656882725
2022-04-04 00:00:00,257.9270790489063,270.87610144763136
2022-04-05 00:00:00,259.56507468751204,272.6041046489847
2022-04-06 00:00:00,266.2032603545123,279.6070574123498
2022-04-07 00:00:00,265.52794492631904,278.8946335240698
2022-04-08 00:00:00,266.0452067069313,279.44031874554975
2022-04-11 00:00:00,262.7692168665582,275.98431385863546
2022-04-12 00:00:00,262.85542428965033,276.0752583639642
2022-04-13 00:00:00,263.94743575043697,277.2272756561226
